Title,Link,Image URL,Original Price,Discounted Price,Weight,Dimensions,Brand,Bowling Ball Coverstock Type,Bowling Ball Cover Name,Bowling Ball Core Name,Bowling Ball Core Shape,Radius of Gyration: RG (15LB),Differential: Diff (15LB),Mass Bias Strength,Flare Potential,Surface Finish,Scent,Ball Lane Conditions,Ball Performance Level,Bowling Ball Color,Ball Weight,Release Date,B.M.W
Hammer Axe Purple Pink Bowling Ball,https://www.bowlersmart.com/product/hammer-axe-purple-pink-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/AXE_Purple-Pink_720x720.png?w=300&h=300&crop=1,$119.95,$89.95,15 lbs,9 × 9 × 9 in,Hammer,Pearl Reactive,Hammer Low Friction Reactive,3 Piece Core,Symmetrical Core,2.69,.019,N/A,0 – 1 Inches,Polished,N/A,Dry,"Entry Level Novice Bowling Balls,Hammer Plastic Performance Bowling Balls","Pink,Purple","8LB,9LB,10LB,11LB,12LB,13LB,14LB,15LB,16LB",April 2025,
Columbia 300 Rally Bowling Ball,https://www.bowlersmart.com/product/columbia-300-rally-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/Rally_1600x1600.png?w=300&h=300&crop=1,$289.95,$189.95,15 lbs,9 × 9 × 9 in,Columbia 300,Hybrid Reactive,Columbia 300 Formula 1 Hybrid Reactive,Columbia 300 Shifter Core,Asymmetrical Core,2.47,.050,.015,4 – 5 Inches,2000 Grit,None,Medium – Heavy Oil,"Columbia 300 High Performance Bowling Balls,High Performance Bowling Balls","Blue,Green,Silver","12LB,13LB,14LB,15LB,16LB",April 2025,
Track Cypher Pearl Bowling Ball,https://www.bowlersmart.com/product/track-cypher-pearl-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/Cypher_Pearl_720x720.png?w=300&h=300&crop=1,$259.99,$144.95,15 lbs,9 × 9 × 9 in,Track,Pearl Reactive,Track Prime Response Pearl Reactive,Track Synergy Core,Symmetrical Core,2.54,.047,N/A,4 – 5 Inches,1500 Grit Polish,None,Medium – Heavy Oil,Track Mid Performance Bowling Balls,"Blue,Silver","12LB,13LB,14LB,15LB,16LB",April 2025,
Brunswick Crown Victory Bowling Ball,https://www.bowlersmart.com/product/brunswick-crown-victory-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/Crown_Victory_720x720.png?w=300&h=300&crop=1,$239.95,$149.95,15 lbs,9 × 9 × 9 in,Brunswick,Hybrid Reactive,Brunswick Savvy Hook Hybrid Reactive,Brunswick Tiered Hexagon Core,Symmetrical Core,2.54,.045,N/A,4 – 5 Inches,1500 Grit Polish,None,Medium – Heavy Oil,"Brunswick Advanced Performance Bowling Balls,Mid Performance Bowling Balls","Black,Blue","12LB,13LB,14LB,15LB,16LB",April 2025,
Motiv Max Thrill Hybrid Bowling Ball,https://www.bowlersmart.com/product/motiv-max-thrill-hybrid-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/04/Motiv-Max-Thrill-Hybrid-Bowling-Ball-2.webp?w=300&h=300&crop=1,$179.95,$119.95,15 lbs,9 × 9 × 9 in,Motiv,Hybrid Reactive,Motiv Turmoil XP3 Hybrid Reactive,Motiv Halogen Core,Symmetrical Core,2.55,.037,N/A,2 – 3 Inches,5500 Grit,,Dry – Medium Oil,"Motiv Light Oil Bowling Balls,Performance Bowling Balls","Blue,Purple","10LB,11LB,12LB,13LB,14LB,15LB,16LB",,
Brunswick Rhino Purple Black Bowling Ball,https://www.bowlersmart.com/product/brunswick-rhino-purple-black-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/03/Rhino_Purple-Black_2025_720x720.png?w=300&h=300&crop=1,$169.95,$89.95,15 lbs,9 × 9 × 9 in,Brunswick,,Brunswick R-16 Pearl Reactive,Brunswick Light Bulb Core,Symmetrical Core,2.52,.030,N/A,2 – 3 Inches,500 Grit Polish,,Dry – Medium Oil,"Brunswick Affordable Performance Bowling Balls,Entry Level Novice Bowling Balls","Black,Purple","10LB,11LB,12LB,13LB,14LB,15LB,16LB",March 2025,
Hammer Raw Hammer Smoke Blue Gold Bowling Ball,https://www.bowlersmart.com/product/hammer-raw-hammer-smoke-blue-gold-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/03/Raw_Hammer_Smoke-Blue-Gold_2025_720x720.png?w=300&h=300&crop=1,$169.95,$99.95,15 lbs,9 × 9 × 9 in,Hammer,Pearl Reactive,Hammer Juiced Pearl Reactive,Hammer Raw Hammer Core,Symmetrical Core,2.53,.038,N/A,3 – 4 Inches,2000 Grit Polish,N/A,Dry – Medium Oil,"Entry Level Novice Bowling Balls,Hammer Lower Mid Performance Bowling Balls","Blue,Gold","10LB,11LB,12LB,13LB,14LB,15LB,16LB",March 2025,
Hammer Hammerhead Bowling Ball,https://www.bowlersmart.com/product/hammer-hammerhead-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/03/Hammer_Head_720x720.png?w=300&h=300&crop=1,$249.95,$149.95,15 lbs,10 × 10 × 10 in,Hammer,Reactive,Hammer Aggression Solid Reactive,Hammer Spheroid Core,Symmetrical Core,2.48,.048,N/A,4 – 5 Inches,2000 Grit,N/A,Medium Oil,"Hammer Upper Mid Performance Bowling Balls,Mid Performance Bowling Balls",Blue,"12LB,13LB,14LB,15LB,16LB",March 2025,
Hammer Special Effect Bowling Ball,https://www.bowlersmart.com/product/hammer-special-effect-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/03/hammer-special-effect-700-april2025.jpg?w=300&h=300&crop=1,$279.95,$194.95,15 lbs,10 × 10 × 10 in,Hammer,Reactive,Hammer HK22 Cohesion Solid Reactive,Hammer Huntsman Core,Asymmetrical Core,2.47,.050,.017,5 – 6 Inches,1500 Grit + Factory Compound,N/A,Medium – Heavy Oil,"Hammer Upper Mid Performance Bowling Balls,High Performance Bowling Balls","Black,Blue,Purple,Red","12LB,13LB,14LB,15LB,16LB",March 2025,
Ebonite Game Breaker 5 Pearl Bowling Ball,https://www.bowlersmart.com/product/ebonite-game-breaker-5-pearl-bowling-ball/,https://www.bowlersmart.com/wp-content/uploads/2025/03/Ebonite-Game-Breaker-5-Pearl-Bowling-Ball.png?w=300&h=300&crop=1,$229.95,$139.95,15 lbs,9 × 9 × 9 in,Ebonite,Pearl Reactive,Ebonite GB 12.7 Pearl Reactive,Ebonite Enhanced V2 Core,Symmetrical Core,2.48,.048,N/A,4 – 5 Inches,1500 Grit,,Medium – Heavy Oil,"Ebonite Pro Performance Bowling Balls,Mid Performance Bowling Balls","Blue,Purple","10LB,11LB,12LB,13LB,14LB,15LB,16LB",March 2025,
